="                                                  ",="(2.42)"
="                                                  ",="721.00"
="Internal promotions                               ",="4.10"
="                                                  ",="(3.66)"
="                                                  ",="721.00"
="Temporary                                         ",="1.34"
="                                                  ",="(1.78)"
="                                                  ",="721.00"
="Tenure track                                      ",="1.36"
="                                                  ",="(1.46)"
="                                                  ",="721.00"
="Tenured                                           ",="0.70"
="                                                  ",="(0.99)"
="                                                  ",="721.00"
="# researchers -1                                  ",="65.51"
="                                                  ",="(26.51)"
="                                                  ",="721.00"
="# of transfers                                    ",="0.26"
="                                                  ",="(0.82)"
="                                                  ",="721.00"
="amount of research funding                        ",="48.45"
="                                                  ",="(31.34)"
="                                                  ",="721.00"
="value added per capita                            ",="2.97"
="                                                  ",="(0.87)"
="                                                  ",="721.00"
="unemployment rate                                 ",="9.86"
="                                                  ",="(5.08)"
="                                                  ",="721.00"
="dpt                                               ",="1.00"
="                                                  ",="(0.00)"
="                                                  ",="103.00"
="Observations                                      ",="721"
="                                                  ",="(1)"
="                                                  ",=""
="                                                  ",="mean/sd/count"
="New positions                                     ",="8.93"
="                                                  ",="(4.77)"
="                                                  ",="273.00"
="New positions (excl. promotions)                  ",="3.45"
="                                                  ",="(2.58)"
="                                                  ",="273.00"
="Internal promotions                               ",="4.74"
="                                                  ",="(3.13)"
="                                                  ",="273.00"
="Temporary                                         ",="1.77"
="                                                  ",="(1.79)"
="                                                  ",="273.00"
="Tenure track                                      ",="1.68"
="                                                  ",="(1.81)"
="                                                  ",="273.00"
="Tenured                                           ",="0.92"
="                                                  ",="(1.11)"
="                                                  ",="273.00"
="# researchers -1                                  ",="70.74"
="                                                  ",="(26.79)"
="                                                  ",="273.00"
="# of transfers                                    ",="0.34"
="                                                  ",="(1.16)"
="                                                  ",="273.00"
="amount of research funding                        ",="63.00"
="                                                  ",="(27.94)"
="                                                  ",="273.00"
="value added per capita                            ",="2.99"
="                                                  ",="(0.83)"
="                                                  ",="273.00"
="unemployment rate                                 ",="9.81"
="                                                  ",="(5.46)"
="                                                  ",="273.00"
="dpt                                               ",="1.00"
="                                                  ",="(0.00)"
="                                                  ",="39.00"
="Observations                                      ",="273"
